frame_id,group,order,declared_path,source_sha256,replacement_evidence_path,replacement_evidence_sha256,production_path,production_sha256,status,notes
idle_01,idle,1,animations/idle/idle_01.png,bf7410cf0bf81ec337f2099cfc7ee0c1fbe24ffa9a673d8bd466900eccf46a40,,,frames/animations/idle/idle_01.png,83d9856f842c25231cc002011baf0e7461bd9a6b5d41164f5cc6fd1eafef4463,PRODUCTION_READY,Deterministically isolated and bottom-center registered; source pixels preserved
idle_02,idle,2,animations/idle/idle_02.png,2063be1cb728d8b1d450a8afeb7a5d2f967d979973f91e20383b9f4a09ff7636,,,frames/animations/idle/idle_02.png,d36588c2fc74cdf7cba59caad3fc4760aa586e2bcb1f3fb7bcdd7cebe2e01fec,PRODUCTION_READY,Deterministically isolated and bottom-center registered; source pixels preserved
idle_03,idle,3,animations/idle/idle_03.png,03cd2966bb101877db303d03865e8810e244f07a6f98efb33a61fb4fd4dff5e9,,,frames/animations/idle/idle_03.png,187917d62e4a520691b6c84c45dd2c3985ff4c2af4bb7d7b7a1814e3b3ed47b5,PRODUCTION_READY,Deterministically isolated and bottom-center registered; source pixels preserved
idle_04,idle,4,animations/idle/idle_04.png,f4da5d0851778b560ad6711923ec35572601cc8e7665334ed19db746a55f3211,,,frames/animations/idle/idle_04.png,eb897697450e540b61cafe33acfcabdba2e5dc15ff0fcecc12e9b382ac33973b,PRODUCTION_READY,Deterministically isolated and bottom-center registered; source pixels preserved
idle_05,idle,5,animations/idle/idle_05.png,1f98fd45b2fea3be624a4dfbf2a5f231062f973deb5e0fa2aa476afcb278b771,,,frames/animations/idle/idle_05.png,7680b0f7f2ea321caf00df00185625fa4502599aafb3b5f94808eabc5c93f79c,PRODUCTION_READY,Deterministically isolated and bottom-center registered; source pixels preserved
idle_06,idle,6,animations/idle/idle_06.png,f842c3dbbc3b4b025a19a2c9c790d9491dfd5e5dad702908ba1ae8f1dc416512,,,frames/animations/idle/idle_06.png,d801dfb823d3df132d6f6d28556069a24e1962c2caad93eb9d4273331bdd8981,PRODUCTION_READY,Deterministically isolated and bottom-center registered; source pixels preserved
idle_07,idle,7,animations/idle/idle_07.png,ffc1bc060174fe26df48ee1b76a30968785b7eec6040683720dc21a14a029653,,,frames/animations/idle/idle_07.png,d84e94405844b56b422ea14598f8336daa9d1bb73e0203a42df139dddcf60cf2,PRODUCTION_READY,Deterministically isolated and bottom-center registered; source pixels preserved
idle_08,idle,8,animations/idle/idle_08.png,2b62be13a2a3cc47d16f011d8cd3b32fdb4f52f70ca42720ff83a719e010291f,,,frames/animations/idle/idle_08.png,ce83ea2daa883efbe210d0c7576ea9127040513868c719576d2cbcfffbc33911,PRODUCTION_READY,Deterministically isolated and bottom-center registered; source pixels preserved
idle_09,idle,9,animations/idle/idle_09.png,4ceeba1465745daa3d179be4981fa94481b8b59e58922ff074f5e23896248ea9,,,frames/animations/idle/idle_09.png,3394b398306908f3e9a652394bf8a3b3d9892226a9fce02f9d9e3133dcbffb70,PRODUCTION_READY,Deterministically isolated and bottom-center registered; source pixels preserved
idle_10,idle,10,animations/idle/idle_10.png,556d043a3ff68abeeb6c1adcc6d61b27367742f0a22e6e2c4c2cb46b22d28825,,,frames/animations/idle/idle_10.png,a69ce5df2ad822764da79bac3066499ec7115c78555be761b94944047b7bd526,PRODUCTION_READY,Deterministically isolated and bottom-center registered; source pixels preserved
idle_11,idle,11,animations/idle/idle_11.png,4d4feaaa0afbc13c696bfc327606a231e5699cee90eaa2996c3a8dbf9d644566,,,frames/animations/idle/idle_11.png,c3dadd28ffaf8f83d406038e618f3b034bf8987e0dfc3b3a7c79360c47f22ffc,PRODUCTION_READY,Deterministically isolated and bottom-center registered; source pixels preserved
idle_12,idle,12,animations/idle/idle_12.png,129425c21ba8c4d050dd3cbcb7809eccd1e42d35f9dc02de64bd9eae780b2448,,,frames/animations/idle/idle_12.png,c8c2b17a3fad7e4e9b33219e818cc4db0d8e528d03fd6047cc2ad38fd5135834,PRODUCTION_READY,Deterministically isolated and bottom-center registered; source pixels preserved
wave_01,wave,1,animations/wave/wave_01.png,37912c2344f261d15aeb86cc8b86121237fb9cd825f3ae418c264b8a7fab6736,,,frames/animations/wave/wave_01.png,787616f571392131a6f1fff697f2f1bb78449f866299265b3211972a20b5c9e5,PRODUCTION_READY,Deterministically isolated and bottom-center registered; source pixels preserved
wave_02,wave,2,animations/wave/wave_02.png,4316917568adb4a7d41adab2d0f850f419f544a23df38d605f18b8425be758d0,,,frames/animations/wave/wave_02.png,7773e1056271885ee7ba82b941a0d2189f4c447befa473442a735e7759849508,PRODUCTION_READY,Deterministically isolated and bottom-center registered; source pixels preserved
